RefID, ClusterID
00886646,00000123
00000123,00000123
02317284,00002975
00002975,00002975
00004185,00004185
02162542,00004185
02718741,00004185
00542277,00006728
00006728,00006728
03458641,00010642
00010642,00010642
01279979,00028663
00028663,00028663
02726937,00031859
00031859,00031859
04830639,00031859
02726433,00031859
00821174,00034555
00034555,00034555
00036691,00036691
02646795,00036691
04577441,00037572
00037572,00037572
01334650,00041656
00041656,00041656
06478816,00041656
00048110,00047446
00047446,00047446
00482930,00052002
00052002,00052002
00632206,00059102
00059102,00059102
00065547,00065547
00332465,00065547
00070601,00070601
01097057,00070601
00070899,00070899
00269199,00070899
06048083,00071564
00071564,00071564
00078888,00078888
00081213,00078888
08052197,00086077
00086077,00086077
04404322,00088411
00088411,00088411
00090225,00090225
04996919,00090225
00091929,00090225
00940265,00092572
00092572,00092572
00107794,00106936
00106936,00106936
04710292,00122122
00122122,00122122
07384146,00123105
00123105,00123105
00128787,00125117
00125117,00125117
07570846,00129576
01242541,00129576
00129576,00129576
00132780,00131930
00131930,00131930
01155528,00132602
00132602,00132602
00136288,00136288
08078722,00136288
00140904,00140904
00144175,00140904
02321956,00155648
00155648,00155648
00158088,00158088
02509525,00158088
00161163,00161163
00433688,00161163
00174973,00174973
02658640,00174973
00551248,00203392
03421262,00203392
00203392,00203392
00207070,00207070
00208074,00207070
06877464,00209555
00209555,00209555
00213712,00213712
03119555,00213712
00217379,00213946
00213946,00213946
01207990,00215840
00215840,00215840
02211756,00221121
00221121,00221121
00221509,00221509
00731569,00221509
00229101,00229101
00230019,00229101
04781209,00229101
01282827,00229101
01303476,00229101
00230432,00229772
00744462,00229772
02247955,00229772
02936513,00229772
02536614,00229772
00516204,00229772
03826787,00229772
00229772,00229772
03267197,00231623
00231623,00231623
00454395,00231623
00252810,00237949
00237949,00237949
00252579,00238112
00238112,00238112
00244545,00244545
00252748,00244545
07184215,00258149
00258149,00258149
00258652,00258652
07882279,00258652
01003668,00270577
02420901,00270577
01630246,00270577
05997281,00270577
00270577,00270577
02310168,00270577
07194439,00291586
00291586,00291586
00292687,00292687
03343094,00292687
03359951,00292687
00302176,00302176
00885784,00302176
00886145,00302176
00310128,00310128
04690523,00310128
00794112,00310128
01262284,00310128
06228171,00310128
01993013,00310128
00362276,00310128
00319370,00319370
01103548,00319370
00319427,00319425
00319425,00319425
00322063,00322063
00467277,00322063
00340858,00323979
00323979,00323979
04511311,00336597
00336597,00336597
00337217,00337217
00355818,00337217
00340024,00337217
00618935,00337311
00337311,00337311
00349160,00349160
03656809,00349160
02259096,00349160
00349292,00349292
00356822,00349292
04376134,00354899
03004468,00354899
00354899,00354899
00357493,00357493
02872823,00357493
00979318,00357493
00563270,00369493
00369493,00369493
05067008,00369493
00866272,00382186
00382186,00382186
00386099,00386099
00407331,00386099
00390111,00390111
00432884,00390111
06984132,00390111
00391466,00391466
02009688,00391466
00770819,00391693
00391693,00391693
00892221,00393979
00393979,00393979
00397733,00397733
02060339,00397733
